site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,serial.number,buoy.id,notes,type
Port Hood NS,20,B,19,45.975,61.54611111,2023,S11889,,,
"Port Hood, NS",20,B,19,45.975,61.54611111,2022,S11889,,,
"Port Hood, NS",20,B,19,45.975,61.54611,,354099,Leonard Leblanc,,
"Prim Reef, PEI",14,B,13,46.0445,63.11324,,350546,C2,,CG
"Pugwash, NS",11,B,10,45.9192,63.595,2022,S11890,,,
"Pugwash, NS",13,B,12,45.9192,63.595,,350518,Leonard Leblanc,,
"Richibucto, NB",12,B,10,46.72506,64.74103,2021,,Q,,CG
"Richibucto, NB",12,B,10,46.72506,64.74103,2022,S11190,Q,,CG
"Richibucto, NB",12,B,10,46.72506,64.74103,2023,S11859,Q,,CG
"Richibucto, NB",12,B,10,46.72506,64.74103,2024,S11190,Q,,CG
"River John, NS",20,B,19,45.8686,63.0914,,354241,Leonard Leblanc,,
"Rustico, PEI",11,B,10,46.465,63.275,2021,352984,JK,,CG
"Rustico, PEI",11,B,10,46.465,63.275,2022,s11193,JK,,CG
"Rustico, PEI",11,B,10,46.465,63.275,2023,s11860,JK,,CG
"Shediac, NB",6,B,5,46.28167,64.50153,2021,350524,XN,,CG
"Shediac, NB",6,B,5,46.28167,64.50153,2022,s11194,XN,,CG
"Shediac, NB",6,B,5,46.28167,64.50153,2023,S11861,XN,,CG
"Shediac, NB",6,B,5,46.28167,64.50153,2024,S11194,XN,,CG
"Shippagan, NB",18,S,2,47.88728,64.76322,2021,354092,EE,,CG
"Shippagan, NB",18,S,2,47.88728,64.76322,2022,s11422,EE,,CG
"Shippagan, NB",18,S,2,47.88728,64.76322,2023,S11864,EE,,CG
"Shippagan, NB",18,B,17,47.88728,64.76322,2023,S11863,EE,,CG
"Shippagan, NB",18,B,17,47.88728,64.76322,2023,S11863,EE,,CG
"Shippagan, NB",18,B,17,47.88728,64.76322,2024,S12340,EG,,CG
"Skinners Pond, PEI",,B,,,,2023,T6473,Robert MacMillan,,
"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,S11844,collecteur,,coll
"Souris, PEI",21,B,20,46.32947,62.25658,2023,S11865,NA,,CG
"Souris, PEI",21,B,20,46.32947,62.25658,2024,S12341,NA,,CG
Strait Crossing 1,15,B,14,46.28342,63.87103,2021,352990,XF,,CG
Strait Crossing 1,15,B,14,46.28342,63.87103,2022,358424,XF,,CG
Strait Crossing 1,15,B,14,46.28342,63.87103,2024,S12343,XF,,CG
Strait Crossing 2,20,B,19,46.15,63.65028,2021,350527,XB,,CG
Strait Crossing 2,20,B,19,46.15,63.65028,2022,358430,XB,,CG
Strait Crossing 2,20,B,19,46.15,63.65028,2023,S11866,XB,,CG
Strait Crossing 2,20,B,19,46.15,63.65028,2024,S12342,XB,,CG
"Tabusintac, NB",6,B,5,47.28944,64.92028,2021,356290,TA2,,CG
"Tabusintac, NB",6,B,5,47.28944,64.92028,2022,358431,TA2,,CG
"Tabusintac, NB",6,B,5,47.28944,64.92028,2024,S12344,TA2,,CG
"Tignish, PEI",,B,,,,2023,T6474,Robert MacMillan,,
"Tracadie, PEI",,B,,,,2023,T6612,Robert MacMillan,,
"Victoria, PEI",7,B,6,46.17644,63.46686,2021,354253,NX,,CG
"Victoria, PEI",7,B,6,46.17644,63.46686,2022,356632,NX,,CG
"Victoria, PEI",7,B,6,46.17644,63.46686,2023,S11870,NX,,CG
"Victoria, PEI",7,B,6,46.17644,63.46686,2024,S12345,NX,,CG
"Wallace 1, NS",15,B,14,45.8339,63.2906,,350514,Leonard Leblanc,,
Wallace 2 NS,9,B,9,45.88167,63.44417,2024,,collecteur,,coll
"West Point, PEI",24,B,23,46.66833,64.50028,2021,353010,D8,,CG
"West Point, PEI",24,B,23,46.66833,64.50028,2022,358432,D8,,CG
"West Point, PEI",24,B,23,46.66833,64.50028,2023,S11872,D8,,CG
"West Point, PEI",24,B,23,46.66833,64.50028,2024,S11855,D8,,CG
