44778.00,21.65
44778.08,21.15
44778.17,20.86
44778.25,20.68
44778.33,22.41
44778.42,22.77
44778.50,23.09
44778.58,27.45
44778.67,32.63
44778.75,33.48
44778.83,32.22
44778.92,28.92
44779.00,25.95
44779.08,23.99
44779.17,22.73
44779.25,21.37
44779.33,23.32
44779.42,30.13
44779.50,25.29
44779.58,23.98
44779.67,23.28
44779.75,22.88
44779.83,22.56
44779.92,22.21
44780.00,21.91
44780.08,21.68
44780.17,21.38
44780.25,21.10
44780.33,20.94
44780.42,21.10
44780.50,22.38
44780.58,23.07
44780.67,23.61
44780.75,24.51
44780.83,24.64
44780.92,24.35
44781.00,23.91
44781.08,23.47
44781.17,22.74
44781.25,22.37
44781.33,22.09
44781.42,22.24
44781.50,22.56
44781.58,22.76
44781.67,22.74
44781.75,22.91
44781.83,22.56
44781.92,22.19
44782.00,21.91
44782.08,21.63
44782.17,21.34
44782.25,21.09
44782.33,20.21
44782.42,20.94
44782.50,21.00
44782.58,21.55
44782.67,22.83
44782.75,22.60
44782.83,21.21
44782.92,21.00
44783.00,20.92
44783.08,20.80
44783.17,20.63
44783.25,20.50
44783.33,20.80
44783.42,22.27
44783.50,21.49
44783.58,21.53
44783.67,21.76
44783.75,21.40
44783.83,21.66
44783.92,21.80
44784.00,22.24
44784.08,22.17
44784.17,22.04
44784.25,21.99
44784.33,22.19
44784.42,23.10
44784.50,23.91
44784.58,23.34
44784.67,29.33
44784.75,28.45
44784.83,30.28
44784.92,28.92
44785.00,30.26
44785.08,28.81
44785.17,30.03
44785.25,28.66
44785.33,29.97
44785.42,28.88
44785.50,28.01
44785.58,26.53
44785.67,24.44
44785.75,23.06
44785.83,22.34
44785.92,21.53
44786.00,21.21
44786.08,20.53
44786.17,20.51
44786.25,20.03
44786.33,20.31
44786.42,19.89
44786.50,20.09
44786.58,20.00
44786.67,20.26
44786.75,20.13
44786.83,20.11
44786.92,20.07
44787.00,20.06
44787.08,19.95
44787.17,19.89
44787.25,19.77
44787.33,19.73
44787.42,19.59
44787.50,19.53
44787.58,19.64
44787.67,19.89
44787.75,19.69
44787.83,19.26
44787.92,18.04
44788.00,16.72
44788.08,15.48
44788.17,15.51
44788.25,18.98
44788.33,18.83
44788.42,18.92
44788.50,19.13
44788.58,19.19
44788.67,19.07
44788.75,19.18
44788.83,19.14
44788.92,19.37
44789.00,19.56
44789.08,19.28
44789.17,19.24
44789.25,19.29
44789.33,19.28
44789.42,19.21
44789.50,19.52
44789.58,19.54
44789.67,19.52
44789.75,19.51
44789.83,19.53
44789.92,19.72
44790.00,19.98
44790.08,19.84
44790.17,19.86
44790.25,19.86
44790.33,20.01
44790.42,20.07
44790.50,20.03
44790.58,19.98
44790.67,20.04
44790.75,20.41
44790.83,20.46
