"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"08:00:00 PM",15.89
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"10:00:00 PM",14.86
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"12:00:00 AM",14.59
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"02:00:00 AM",14.95
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"04:00:00 AM",14.66
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"06:00:00 AM",14.89
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"08:00:00 AM",15.98
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"10:00:00 AM",16.76
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"12:00:00 PM",16.65
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"02:00:00 PM",17.59
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"04:00:00 PM",18.53
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"06:00:00 PM",18.45
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"08:00:00 PM",18.07
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"10:00:00 PM",17.57
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"12:00:00 AM",17.94
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"02:00:00 AM",16.54
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"04:00:00 AM",16.96
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"06:00:00 AM",16.92
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"08:00:00 AM",17.33
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"10:00:00 AM",19.28
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"12:00:00 PM",18.21
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"02:00:00 PM",19.77
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"04:00:00 PM",20.16
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"06:00:00 PM",21.29
